training_start,training_end,country,specification_id,specification_order,p,d,q,P,D,Q,seasonal_period,trend,selected_d,selected_D,fit_status,convergence_status,optimizer_success,optimizer_status,optimizer_warnflag,optimizer_retry_count,converged,parameters_finite,standard_errors_finite,forecast_valid,stationarity_ok,invertibility_ok,nobs,effective_nobs,n_params,log_likelihood,aic,aicc,bic,ar_root_minimum,ma_root_minimum,residual_adequacy_rejected,residual_adequacy_reason,warning_messages,hard_warning_messages,error_message,model_valid,eligible
2020-01-01,2023-12-31,Austria,sarima_p2_d1_q0_P0_D0_Q0_s24,5,2,1,0,0,0,0,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,3,-237105.0251372999,474216.0502745998,474216.05095916014,474241.444979767,1.7576491586648955,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Austria,sarima_p0_d1_q2_P0_D0_Q0_s24,6,0,1,2,0,0,0,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,3,-237409.7161762698,474825.4323525396,474825.43303709995,474850.82705770683,inf,1.3297513234988132,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Austria,sarima_p0_d1_q0_P1_D0_Q0_s24,7,0,1,0,1,0,0,24,n,1,0,failed,converged,,,0,0,True,True,True,True,False,True,35064,35063,2,-227921.90885025723,455847.81770051445,455847.8180427849,455864.7475039593,1.0052999851608626,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],combined AR roots fail stationarity threshold,False,False
2020-01-01,2023-12-31,Austria,sarima_p0_d1_q0_P0_D0_Q1_s24,8,0,1,0,0,0,1,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,2,-240928.4621389394,481860.9242778788,481860.9246201492,481877.8540813236,inf,1.013407437029444,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Austria,sarima_p1_d1_q0_P1_D0_Q0_s24,9,1,1,0,1,0,0,24,n,1,0,failed,converged,,,0,0,True,True,True,True,False,True,35064,35063,3,-219406.21633415174,438818.4326683035,438818.4333528638,438843.8273734707,1.0078563193240007,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],combined AR roots fail stationarity threshold,False,False
2020-01-01,2023-12-31,Austria,sarima_p0_d1_q1_P0_D0_Q1_s24,10,0,1,1,0,0,1,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,3,-232083.05225253938,464172.10450507875,464172.1051896391,464197.49921024597,inf,1.0173531090706776,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Austria,sarima_p1_d1_q1_P1_D0_Q0_s24,11,1,1,1,1,0,0,24,n,1,0,failed,converged,,,0,0,True,True,True,True,False,True,35064,35063,4,-218845.30821605673,437698.61643211346,437698.6175730798,437732.4760390031,1.0080391926826548,4.293559854308168,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],combined AR roots fail stationarity threshold,False,False
2020-01-01,2023-12-31,Austria,sarima_p1_d1_q1_P0_D0_Q1_s24,12,1,1,1,0,0,1,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,4,-228106.68483847962,456221.36967695924,456221.3708179256,456255.2292838489,1.6170420079160466,1.020585200080154,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Austria,sarima_p1_d1_q0_P0_D0_Q1_s24,13,1,1,0,0,0,1,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,3,-228806.9165520834,457619.8331041668,457619.8337887271,457645.227809334,1.3989224765925634,1.0193970112172352,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Austria,sarima_p0_d1_q1_P1_D0_Q0_s24,14,0,1,1,1,0,0,24,n,1,0,failed,converged,,,0,0,True,True,True,True,False,True,35064,35063,3,-220752.28207407863,441510.56414815725,441510.5648327176,441535.95885332447,1.0065867587169632,1.7888824479462766,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],combined AR roots fail stationarity threshold,False,False
