training_start,training_end,country,specification_id,p,d,q,P,D,Q,seasonal_period,burn_in,state_space_loglikelihood_burn,conservative_burn_in,n_effective,acf_threshold,residual_adequacy_rejected,residual_adequacy_reason,warnings,diagnostic,lag,value,threshold,flagged
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,7,-0.2187211146371137,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,8,-0.16814563936234184,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,9,-0.11259218656736403,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,10,-0.04073759627912634,0.05,False
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,11,0.1101577461543755,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,12,0.09839213773882782,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,13,0.13551563512292195,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,14,-0.04205911778301856,0.05,False
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,15,-0.13144058478188617,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,16,-0.1949849596632657,0.05,True
