Time from [CET/CEST],Time to [CET/CEST],Load [MW]
2021-01-03 12:15:00,2021-01-03 12:30:00,6828.000
2021-01-03 12:30:00,2021-01-03 12:45:00,6732.000
2021-01-03 12:45:00,2021-01-03 13:00:00,6656.000
2021-01-03 13:00:00,2021-01-03 13:15:00,6628.000
2021-01-03 13:15:00,2021-01-03 13:30:00,6580.000
2021-01-03 13:30:00,2021-01-03 13:45:00,6528.000
2021-01-03 13:45:00,2021-01-03 14:00:00,6484.000
2021-01-03 14:00:00,2021-01-03 14:15:00,6468.000
2021-01-03 14:15:00,2021-01-03 14:30:00,6452.000
2021-01-03 14:30:00,2021-01-03 14:45:00,6444.000
2021-01-03 14:45:00,2021-01-03 15:00:00,6436.000
2021-01-03 15:00:00,2021-01-03 15:15:00,6452.000
2021-01-03 15:15:00,2021-01-03 15:30:00,6464.000
2021-01-03 15:30:00,2021-01-03 15:45:00,6500.000
2021-01-03 15:45:00,2021-01-03 16:00:00,6552.000
2021-01-03 16:00:00,2021-01-03 16:15:00,6628.000
2021-01-03 16:15:00,2021-01-03 16:30:00,6752.000
2021-01-03 16:30:00,2021-01-03 16:45:00,6852.000
2021-01-03 16:45:00,2021-01-03 17:00:00,6976.000
2021-01-03 17:00:00,2021-01-03 17:15:00,7056.000
2021-01-03 17:15:00,2021-01-03 17:30:00,7132.000
2021-01-03 17:30:00,2021-01-03 17:45:00,7164.000
2021-01-03 17:45:00,2021-01-03 18:00:00,7192.000
2021-01-03 18:00:00,2021-01-03 18:15:00,7224.000
2021-01-03 18:15:00,2021-01-03 18:30:00,7212.000
2021-01-03 18:30:00,2021-01-03 18:45:00,7172.000
2021-01-03 18:45:00,2021-01-03 19:00:00,7140.000
2021-01-03 19:00:00,2021-01-03 19:15:00,7056.000
2021-01-03 19:15:00,2021-01-03 19:30:00,7004.000
2021-01-03 19:30:00,2021-01-03 19:45:00,6940.000
2021-01-03 19:45:00,2021-01-03 20:00:00,6900.000
2021-01-03 20:00:00,2021-01-03 20:15:00,6860.000
2021-01-03 20:15:00,2021-01-03 20:30:00,6776.000
2021-01-03 20:30:00,2021-01-03 20:45:00,6688.000
2021-01-03 20:45:00,2021-01-03 21:00:00,6604.000
2021-01-03 21:00:00,2021-01-03 21:15:00,6532.000
2021-01-03 21:15:00,2021-01-03 21:30:00,6444.000
2021-01-03 21:30:00,2021-01-03 21:45:00,6360.000
2021-01-03 21:45:00,2021-01-03 22:00:00,6336.000
2021-01-03 22:00:00,2021-01-03 22:15:00,6604.000
2021-01-03 22:15:00,2021-01-03 22:30:00,6580.000
2021-01-03 22:30:00,2021-01-03 22:45:00,6464.000
2021-01-03 22:45:00,2021-01-03 23:00:00,6364.000
2021-01-03 23:00:00,2021-01-03 23:15:00,6324.000
2021-01-03 23:15:00,2021-01-03 23:30:00,6200.000
2021-01-03 23:30:00,2021-01-03 23:45:00,6084.000
2021-01-03 23:45:00,2021-01-04 00:00:00,5996.000
2021-01-04 00:00:00,2021-01-04 00:15:00,6284.000
2021-01-04 00:15:00,2021-01-04 00:30:00,6184.000
2021-01-04 00:30:00,2021-01-04 00:45:00,6080.000
2021-01-04 00:45:00,2021-01-04 01:00:00,5992.000
2021-01-04 01:00:00,2021-01-04 01:15:00,6000.000
2021-01-04 01:15:00,2021-01-04 01:30:00,5924.000
2021-01-04 01:30:00,2021-01-04 01:45:00,5860.000
2021-01-04 01:45:00,2021-01-04 02:00:00,5804.000
2021-01-04 02:00:00,2021-01-04 02:15:00,5888.000
2021-01-04 02:15:00,2021-01-04 02:30:00,5828.000
2021-01-04 02:30:00,2021-01-04 02:45:00,5780.000
2021-01-04 02:45:00,2021-01-04 03:00:00,5736.000
2021-01-04 03:00:00,2021-01-04 03:15:00,5732.000
2021-01-04 03:15:00,2021-01-04 03:30:00,5712.000
2021-01-04 03:30:00,2021-01-04 03:45:00,5712.000
2021-01-04 03:45:00,2021-01-04 04:00:00,5724.000
2021-01-04 04:00:00,2021-01-04 04:15:00,5780.000
2021-01-04 04:15:00,2021-01-04 04:30:00,5816.000
2021-01-04 04:30:00,2021-01-04 04:45:00,5884.000
2021-01-04 04:45:00,2021-01-04 05:00:00,5976.000
2021-01-04 05:00:00,2021-01-04 05:15:00,6096.000
2021-01-04 05:15:00,2021-01-04 05:30:00,6220.000
2021-01-04 05:30:00,2021-01-04 05:45:00,6380.000
2021-01-04 05:45:00,2021-01-04 06:00:00,6540.000
2021-01-04 06:00:00,2021-01-04 06:15:00,6724.000
2021-01-04 06:15:00,2021-01-04 06:30:00,6936.000
2021-01-04 06:30:00,2021-01-04 06:45:00,7120.000
2021-01-04 06:45:00,2021-01-04 07:00:00,7296.000
2021-01-04 07:00:00,2021-01-04 07:15:00,7516.000
2021-01-04 07:15:00,2021-01-04 07:30:00,7660.000
2021-01-04 07:30:00,2021-01-04 07:45:00,7772.000
2021-01-04 07:45:00,2021-01-04 08:00:00,7852.000
2021-01-04 08:00:00,2021-01-04 08:15:00,7952.000
2021-01-04 08:15:00,2021-01-04 08:30:00,8008.000
2021-01-04 08:30:00,2021-01-04 08:45:00,8060.000
2021-01-04 08:45:00,2021-01-04 09:00:00,8100.000
2021-01-04 09:00:00,2021-01-04 09:15:00,8112.000
2021-01-04 09:15:00,2021-01-04 09:30:00,8132.000
2021-01-04 09:30:00,2021-01-04 09:45:00,8160.000
2021-01-04 09:45:00,2021-01-04 10:00:00,8176.000
2021-01-04 10:00:00,2021-01-04 10:15:00,8192.000
2021-01-04 10:15:00,2021-01-04 10:30:00,8212.000
2021-01-04 10:30:00,2021-01-04 10:45:00,8232.000
2021-01-04 10:45:00,2021-01-04 11:00:00,8256.000
2021-01-04 11:00:00,2021-01-04 11:15:00,8244.000
2021-01-04 11:15:00,2021-01-04 11:30:00,8280.000
2021-01-04 11:30:00,2021-01-04 11:45:00,8272.000
2021-01-04 11:45:00,2021-01-04 12:00:00,8248.000
2021-01-04 12:00:00,2021-01-04 12:15:00,8228.000
2021-01-04 12:15:00,2021-01-04 12:30:00,8144.000
2021-01-04 12:30:00,2021-01-04 12:45:00,8080.000
2021-01-04 12:45:00,2021-01-04 13:00:00,8044.000
2021-01-04 13:00:00,2021-01-04 13:15:00,8040.000
2021-01-04 13:15:00,2021-01-04 13:30:00,8000.000
2021-01-04 13:30:00,2021-01-04 13:45:00,7956.000
2021-01-04 13:45:00,2021-01-04 14:00:00,7920.000
2021-01-04 14:00:00,2021-01-04 14:15:00,7904.000
2021-01-04 14:15:00,2021-01-04 14:30:00,7892.000
2021-01-04 14:30:00,2021-01-04 14:45:00,7872.000
2021-01-04 14:45:00,2021-01-04 15:00:00,7864.000
2021-01-04 15:00:00,2021-01-04 15:15:00,7880.000
2021-01-04 15:15:00,2021-01-04 15:30:00,7888.000
2021-01-04 15:30:00,2021-01-04 15:45:00,7904.000
2021-01-04 15:45:00,2021-01-04 16:00:00,7944.000
2021-01-04 16:00:00,2021-01-04 16:15:00,8024.000
2021-01-04 16:15:00,2021-01-04 16:30:00,8116.000
2021-01-04 16:30:00,2021-01-04 16:45:00,8216.000
2021-01-04 16:45:00,2021-01-04 17:00:00,8300.000
2021-01-04 17:00:00,2021-01-04 17:15:00,8336.000
2021-01-04 17:15:00,2021-01-04 17:30:00,8376.000
2021-01-04 17:30:00,2021-01-04 17:45:00,8380.000
2021-01-04 17:45:00,2021-01-04 18:00:00,8380.000
2021-01-04 18:00:00,2021-01-04 18:15:00,8348.000
2021-01-04 18:15:00,2021-01-04 18:30:00,8296.000
2021-01-04 18:30:00,2021-01-04 18:45:00,8244.000
2021-01-04 18:45:00,2021-01-04 19:00:00,8176.000
2021-01-04 19:00:00,2021-01-04 19:15:00,8052.000
2021-01-04 19:15:00,2021-01-04 19:30:00,7944.000
2021-01-04 19:30:00,2021-01-04 19:45:00,7836.000
2021-01-04 19:45:00,2021-01-04 20:00:00,7744.000
2021-01-04 20:00:00,2021-01-04 20:15:00,7624.000
2021-01-04 20:15:00,2021-01-04 20:30:00,7504.000
2021-01-04 20:30:00,2021-01-04 20:45:00,7384.000
2021-01-04 20:45:00,2021-01-04 21:00:00,7268.000
2021-01-04 21:00:00,2021-01-04 21:15:00,7132.000
2021-01-04 21:15:00,2021-01-04 21:30:00,7012.000
2021-01-04 21:30:00,2021-01-04 21:45:00,6896.000
2021-01-04 21:45:00,2021-01-04 22:00:00,6812.000
2021-01-04 22:00:00,2021-01-04 22:15:00,7036.000
2021-01-04 22:15:00,2021-01-04 22:30:00,6980.000
2021-01-04 22:30:00,2021-01-04 22:45:00,6844.000
2021-01-04 22:45:00,2021-01-04 23:00:00,6728.000
2021-01-04 23:00:00,2021-01-04 23:15:00,6672.000
2021-01-04 23:15:00,2021-01-04 23:30:00,6536.000
2021-01-04 23:30:00,2021-01-04 23:45:00,6424.000
2021-01-04 23:45:00,2021-01-05 00:00:00,6328.000
2021-01-05 00:00:00,2021-01-05 00:15:00,6284.000
2021-01-05 00:15:00,2021-01-05 00:30:00,6184.000
2021-01-05 00:30:00,2021-01-05 00:45:00,6080.000
2021-01-05 00:45:00,2021-01-05 01:00:00,5992.000
2021-01-05 01:00:00,2021-01-05 01:15:00,6000.000
2021-01-05 01:15:00,2021-01-05 01:30:00,5924.000
2021-01-05 01:30:00,2021-01-05 01:45:00,5860.000
2021-01-05 01:45:00,2021-01-05 02:00:00,5804.000
2021-01-05 02:00:00,2021-01-05 02:15:00,5888.000
2021-01-05 02:15:00,2021-01-05 02:30:00,5828.000
2021-01-05 02:30:00,2021-01-05 02:45:00,5780.000
2021-01-05 02:45:00,2021-01-05 03:00:00,5736.000
2021-01-05 03:00:00,2021-01-05 03:15:00,5732.000
2021-01-05 03:15:00,2021-01-05 03:30:00,5712.000
2021-01-05 03:30:00,2021-01-05 03:45:00,5712.000
2021-01-05 03:45:00,2021-01-05 04:00:00,5724.000
2021-01-05 04:00:00,2021-01-05 04:15:00,5780.000
2021-01-05 04:15:00,2021-01-05 04:30:00,5816.000
2021-01-05 04:30:00,2021-01-05 04:45:00,5884.000
2021-01-05 04:45:00,2021-01-05 05:00:00,5976.000
2021-01-05 05:00:00,2021-01-05 05:15:00,6096.000
2021-01-05 05:15:00,2021-01-05 05:30:00,6220.000
2021-01-05 05:30:00,2021-01-05 05:45:00,6380.000
2021-01-05 05:45:00,2021-01-05 06:00:00,6540.000
2021-01-05 06:00:00,2021-01-05 06:15:00,6724.000
2021-01-05 06:15:00,2021-01-05 06:30:00,6936.000
2021-01-05 06:30:00,2021-01-05 06:45:00,7120.000
2021-01-05 06:45:00,2021-01-05 07:00:00,7296.000
2021-01-05 07:00:00,2021-01-05 07:15:00,7516.000
