country,model_family,hour_of_day,n_observations,mae,rmse,mape
Germany,Regression with ARIMA errors,13,365,4993.440221776358,6355.200935170872,9.00624619761082
Germany,Regression with ARIMA errors,14,365,4902.612315819355,6265.680178773752,9.046052555744817
Germany,Regression with ARIMA errors,15,365,4725.984782406734,6078.972620916413,8.772183696607522
Germany,Regression with ARIMA errors,16,365,4303.710846516632,5711.136538879649,7.926335479432114
Germany,Regression with ARIMA errors,17,365,3969.6060026110863,5473.488313433062,7.089746554996605
Germany,Regression with ARIMA errors,18,365,3894.925995521658,5404.849121289722,6.764587450489581
Germany,Regression with ARIMA errors,19,365,4162.177264505095,5623.172776964832,7.2026036233433
Germany,Regression with ARIMA errors,20,365,4505.624878530309,5856.5922831961025,8.072676958126669
Germany,Regression with ARIMA errors,21,365,4685.326996380812,5953.568311670847,8.765075441763976
Germany,Regression with ARIMA errors,22,365,4635.383558698717,5825.498151740979,9.110708207053223
Germany,Regression with ARIMA errors,23,365,4631.258540068032,5832.593200214837,9.700919108478145
Germany,SMARD,0,365,1453.793178082192,1785.5080273633341,3.19605350647858
Germany,SMARD,1,365,1494.9790410958904,1812.0809648633253,3.421768237479178
Germany,SMARD,2,365,1550.2800273972603,1879.1248382832036,3.6381896624193533
Germany,SMARD,3,365,1551.960164383562,1881.8796652098697,3.6564921722208434
Germany,SMARD,4,365,1473.2884383561645,1763.4611807948625,3.4193659922059716
Germany,SMARD,5,365,1390.8096712328766,1718.4778735123436,3.0873780889905023
Germany,SMARD,6,365,1778.3898082191781,2290.099669624022,3.5580987613681354
Germany,SMARD,7,365,1947.7067397260273,2567.896147140103,3.6456232581169887
Germany,SMARD,8,365,1868.267205479452,2472.2222920130584,3.349919689997479
Germany,SMARD,9,365,1959.7685753424655,2437.859727191832,3.4606238377378187
Germany,SMARD,10,365,2337.8205479452054,2845.7781029108933,4.1207504085627935
Germany,SMARD,11,365,2583.5929041095887,3150.1084326291643,4.5721170458617175
Germany,SMARD,12,365,2723.640219178082,3346.551097802689,4.900749158167252
Germany,SMARD,13,365,2790.5075342465752,3408.827033946604,5.145603620732224
Germany,SMARD,14,365,2604.386191780822,3224.73277924361,4.908243114797652
Germany,SMARD,15,365,2425.5633972602745,3012.3676233687015,4.585320234119521
Germany,SMARD,16,365,2370.468082191781,2929.5138485414077,4.410595289799307
Germany,SMARD,17,365,2179.8782465753425,2698.116649382808,3.864097674886622
Germany,SMARD,18,365,1911.9021643835615,2382.724303577045,3.277974668223832
Germany,SMARD,19,365,1780.5727123287675,2246.337861386291,3.038979625377234
Germany,SMARD,20,365,1651.9483013698634,2094.9933599971278,2.9129314147923338
Germany,SMARD,21,365,1542.4295342465755,1939.461539204978,2.8342802669216103
Germany,SMARD,22,365,1517.602493150685,1875.5820110076809,2.9383554136423737
Germany,SMARD,23,365,1501.3837260273974,1845.2572184411893,3.110279620059385
Austria,Weekly seasonal naive,0,365,263.57575342465753,366.57472570732045,4.408186952899913
Austria,Weekly seasonal naive,1,365,263.0405479452055,367.21190810219485,4.599075311435717
Austria,Weekly seasonal naive,2,365,259.24123287671233,363.474013024089,4.600705919186212
Austria,Weekly seasonal naive,3,365,266.4201369863014,372.4026871785544,4.788887980775126
Austria,Weekly seasonal naive,4,365,278.9852054794521,388.4266524438908,4.9292894245073615
Austria,Weekly seasonal naive,5,365,330.36561643835614,475.040618083093,5.417565830711874
Austria,Weekly seasonal naive,6,365,404.9597260273972,631.4304966687051,6.0265683273397945
Austria,Weekly seasonal naive,7,365,450.40219178082197,718.1657554311348,6.342186770409279
Austria,Weekly seasonal naive,8,365,480.8867123287672,733.4302125292392,6.576424728389783
Austria,Weekly seasonal naive,9,365,531.4653424657536,747.0006994504437,7.204134124902033
Austria,Weekly seasonal naive,10,365,594.0187671232877,799.6060161746782,8.067637710804457
Austria,Weekly seasonal naive,11,365,643.5035616438356,846.4270947737456,8.823293100665941
Austria,Weekly seasonal naive,12,365,664.4295890410958,864.604079365113,9.397170068883797
Austria,Weekly seasonal naive,13,365,679.4027397260274,889.0090521211945,9.795942447755367
Austria,Weekly seasonal naive,14,365,676.9343835616439,890.2281280314368,9.968535867868727
Austria,Weekly seasonal naive,15,365,649.2383561643836,869.5102109729945,9.587985190537346
Austria,Weekly seasonal naive,16,365,598.5315068493151,813.1583843093563,8.741905159775378
Austria,Weekly seasonal naive,17,365,523.2460273972603,721.0469775606268,7.399903221707469
Austria,Weekly seasonal naive,18,365,440.08465753424656,611.027399582945,6.049517269869467
Austria,Weekly seasonal naive,19,365,362.2297260273972,515.0949170877044,4.925958464231711
Austria,Weekly seasonal naive,20,365,316.6672602739726,453.2033174850467,4.415202673760304
Austria,Weekly seasonal naive,21,365,291.2417808219178,407.95950231291005,4.282078168349156
Austria,Weekly seasonal naive,22,365,275.0472602739726,381.2064348430564,4.156708053454974
Austria,Weekly seasonal naive,23,365,267.172602739726,369.8149417067799,4.304918159261611
Austria,Holt-Winters,0,365,339.4647957904333,452.5881201660669,5.950235201210038
Austria,Holt-Winters,1,365,322.88564150484024,432.3159651041181,5.977334625961489
Austria,Holt-Winters,2,365,305.47879765084133,407.49721902024544,5.750305429790376
Austria,Holt-Winters,3,365,294.87505167111584,391.15711111779433,5.635001024314273
Austria,Holt-Winters,4,365,296.13884087533626,379.92456743404654,5.4607619105118355
Austria,Holt-Winters,5,365,335.4765911938717,448.1193156264331,5.567856049581888
Austria,Holt-Winters,6,365,356.47802785246483,515.2680987784075,5.41920534985574
Austria,Holt-Winters,7,365,308.83557519620564,528.428717458517,4.570118632920336
Austria,Holt-Winters,8,365,387.6129150723876,590.4675865299406,5.476864067486223
Austria,Holt-Winters,9,365,497.7703314301818,680.9130121574246,6.963881791552207
Austria,Holt-Winters,10,365,585.3369553197188,759.0884561915154,8.24385465434993
Austria,Holt-Winters,11,365,658.5629282894736,831.7918397105647,9.425373122697817
Austria,Holt-Winters,12,365,727.8922790944163,899.9369545257209,10.809626267444512
Austria,Holt-Winters,13,365,727.5063030630245,905.3200838203287,11.0711137862158
Austria,Holt-Winters,14,365,727.2320627989525,915.0937546023305,11.329759489206047
Austria,Holt-Winters,15,365,697.8364723706899,879.8955927967348,10.791854313677518
Austria,Holt-Winters,16,365,649.2366559568261,832.3960360297731,9.780428064635743
Austria,Holt-Winters,17,365,551.3678881737449,749.0281320264771,8.046199155640116
Austria,Holt-Winters,18,365,488.5718550039744,684.3925050447224,6.986235247880193
Austria,Holt-Winters,19,365,453.27143760324594,622.6694732149349,6.3754500246119425
Austria,Holt-Winters,20,365,415.07650447829104,575.8826207830344,5.958396471208984
Austria,Holt-Winters,21,365,394.12110447332896,550.6231853241594,6.0038148991284075
Austria,Holt-Winters,22,365,376.6438242538809,525.1480417050159,5.8881086245137935
Austria,Holt-Winters,23,365,400.0288483975069,537.0690721117553,6.756952023758078
Austria,ARIMA,0,365,915.9803323876416,1019.2302382610864,15.690439013302727
Austria,ARIMA,1,365,1229.885213378143,1317.104646047902,22.16527418216999
Austria,ARIMA,2,365,1377.3938508406331,1460.7598367196442,25.350464552631298
Austria,ARIMA,3,365,1468.6790972588344,1553.9799815392823,27.460730839874863
Austria,ARIMA,4,365,1365.570886188948,1472.9860216042116,25.18941251206604
Austria,ARIMA,5,365,914.4548273690427,1109.797524410098,16.12310472696792
Austria,ARIMA,6,365,864.6021551208992,1024.1913141646721,13.819366740948428
Austria,ARIMA,7,365,1187.1618626923103,1283.3936455595156,16.527067341504576
Austria,ARIMA,8,365,1250.4613659431525,1376.1378275183745,16.39263832535318
Austria,ARIMA,9,365,1142.7387092038641,1295.8457636749297,14.894694086925526
Austria,ARIMA,10,365,1062.7862750714808,1234.270694945884,13.935143622176335
Austria,ARIMA,11,365,992.3081012346686,1172.3681425915158,13.235586031651245
Austria,ARIMA,12,365,910.1020516806012,1080.2243391589566,12.7607312548973
Austria,ARIMA,13,365,926.0918870095225,1092.3326451085272,13.455311372392528
Austria,ARIMA,14,365,929.2117056651924,1094.6373968312637,13.93712855002963
Austria,ARIMA,15,365,947.6370283111635,1121.4934232550006,14.026475226880745
Austria,ARIMA,16,365,978.6526847716597,1158.690966436628,13.871803248054793
Austria,ARIMA,17,365,1016.7429165315655,1210.3437133625712,13.538873946034686
Austria,ARIMA,18,365,1005.7910306095126,1202.9165438321115,13.058580839985641
Austria,ARIMA,19,365,896.4824208543295,1077.9284005272673,11.84805781546834
Austria,ARIMA,20,365,727.0636773880625,878.347242971366,10.167972769958787
Austria,ARIMA,21,365,636.9132559967371,765.8742289492226,9.631228758397286
Austria,ARIMA,22,365,622.7696350623892,749.560635573186,9.748507426495152
Austria,ARIMA,23,365,819.6232268785311,976.7441044124621,13.713531255847222
Austria,SARIMA,0,365,416.5675420809722,517.0696588287915,7.3300124167749185
Austria,SARIMA,1,365,416.6711050357909,517.6275075377532,7.681025511368661
Austria,SARIMA,2,365,419.36844616240336,516.634453708382,7.895229023139508
Austria,SARIMA,3,365,424.3834135709546,521.7127279093548,8.088663676496722
Austria,SARIMA,4,365,442.7620672625912,552.8753805906549,8.261223003485155
Austria,SARIMA,5,365,526.5915039758584,710.7805990771291,8.996469905919913
Austria,SARIMA,6,365,735.6080409115604,1092.5262775221506,11.216153603400105
Austria,SARIMA,7,365,860.0470472725634,1287.6736498194919,12.295873774641272
Austria,SARIMA,8,365,872.0476251595389,1277.1188338927602,11.99634599763705
Austria,SARIMA,9,365,864.2207867711011,1211.2397020637627,11.71635364193068
Austria,SARIMA,10,365,894.4484778213433,1206.5141594529928,12.15596436045477
Austria,SARIMA,11,365,925.0176198900683,1217.1001706853472,12.69386611116427
Austria,SARIMA,12,365,920.5724549322724,1205.7949999282705,13.010702041542086
Austria,SARIMA,13,365,925.9559592531241,1225.6142877909074,13.41423334667996
Austria,SARIMA,14,365,919.665952420599,1218.2753322249846,13.636442068075539
Austria,SARIMA,15,365,900.0564663338274,1193.1602290563185,13.395340223249832
Austria,SARIMA,16,365,871.7487957430258,1168.4749903661536,12.76437686666934
Austria,SARIMA,17,365,819.7280193744272,1106.5271085741024,11.55846210442554
Austria,SARIMA,18,365,774.985702622356,1057.5238772906653,10.68737903734816
Austria,SARIMA,19,365,743.2958436267661,997.0746309854045,10.246102572928015
Austria,SARIMA,20,365,720.1182789607701,925.9882108092352,10.239859951976788
Austria,SARIMA,21,365,693.6285009612334,859.2261881576136,10.438289698534325
Austria,SARIMA,22,365,687.2147278672437,826.778428459217,10.690025976365709
Austria,SARIMA,23,365,665.8522068624524,800.4396192648677,11.096092917858398
Austria,Regression with ARIMA errors,0,365,463.2649535486795,572.0803035472179,8.046368615474575
Austria,Regression with ARIMA errors,1,365,467.5170872396442,582.6742758131224,8.506351323596046
Austria,Regression with ARIMA errors,2,365,471.74805860728696,592.0073847568781,8.749109699561036
Austria,Regression with ARIMA errors,3,365,478.2782628356388,604.0315203362949,8.99741885141874
Austria,Regression with ARIMA errors,4,365,485.82291417496066,624.125597537572,8.939460326782392
Austria,Regression with ARIMA errors,5,365,533.9971088633336,704.6603723315262,9.043764718083695
Austria,Regression with ARIMA errors,6,365,765.4026867198792,958.4754634887286,11.817950095523699
Austria,Regression with ARIMA errors,7,365,872.8319455979968,1085.066005008986,12.843737864075424
Austria,Regression with ARIMA errors,8,365,836.2682685544034,1068.4326318904555,11.978865962017592
Austria,Regression with ARIMA errors,9,365,780.1275485767707,1005.321688257336,11.079960733093925
Austria,Regression with ARIMA errors,10,365,786.515281354088,997.7852677731233,11.172445489584154
Austria,Regression with ARIMA errors,11,365,830.0305473773825,1029.9001741716097,11.925724944076974
Austria,Regression with ARIMA errors,12,365,837.90249439497,1040.5222985173145,12.405384718646008
Austria,Regression with ARIMA errors,13,365,866.56487773805,1079.7986862957305,13.152110467111902
Austria,Regression with ARIMA errors,14,365,875.7478965817911,1091.0337645852774,13.583093599964357
Austria,Regression with ARIMA errors,15,365,862.0307789228636,1081.6255966012698,13.279229025798863
Austria,Regression with ARIMA errors,16,365,833.660029755335,1062.200625872893,12.486827491864345
Austria,Regression with ARIMA errors,17,365,757.7746201489235,1000.2538485031254,10.930149431506702
Austria,Regression with ARIMA errors,18,365,690.3098672177908,930.8719971395585,9.670509140742228
Austria,Regression with ARIMA errors,19,365,646.0615061543543,875.7224383461466,8.912400165167439
